,index,year,gametime (AET),ground,FanFooty draw ID,team,score,SC_total,previous SC match score,rolling 3 round SC match average,rolling 5 round SC match average,match_identifier
186,3285,2010,2010-07-11 14:10:00,MCG,3519,ME,122.0,1667.0,1456.0,1530.0,1504.8,3519_ME
187,3285,2010,2010-07-11 14:10:00,MCG,3519,ES,103.0,1627.0,1525.0,1516.3333333333333,1591.6,3519_ES
188,3286,2010,2010-07-11 16:40:00,Docklands,3520,CA,58.0,1523.0,1678.0,1685.6666666666667,1719.0,3520_CA
189,3286,2010,2010-07-11 16:40:00,Docklands,3520,WB,126.0,1769.0,1675.0,1789.6666666666667,1687.4,3520_WB
190,3287,2010,2010-07-16 20:10:00,Footy Park,3521,AD,74.0,1649.0,1683.0,1770.3333333333333,1728.6,3521_AD
191,3287,2010,2010-07-16 20:10:00,Footy Park,3521,GE,63.0,1673.0,1692.0,1714.6666666666667,1747.2,3521_GE
192,3288,2010,2010-07-17 14:10:00,MCG,3522,SK,52.0,1516.0,1739.0,1814.6666666666667,1831.2,3522_SK
193,3288,2010,2010-07-17 14:10:00,MCG,3522,CO,100.0,1789.0,1689.0,1819.6666666666667,1777.6,3522_CO
194,3289,2010,2010-07-17 14:10:00,Launceston,3523,BL,43.0,1258.0,1604.0,1544.0,1604.2,3523_BL
195,3289,2010,2010-07-17 14:10:00,Launceston,3523,HW,118.0,2057.0,1648.0,1684.0,1710.6,3523_HW
196,3290,2010,2010-07-17 19:10:00,Docklands,3524,WC,132.0,1807.0,1621.0,1491.0,1515.4,3524_WC
197,3290,2010,2010-07-17 19:10:00,Docklands,3524,ES,100.0,1514.0,1627.0,1577.0,1558.6,3524_ES
198,3291,2010,2010-07-17 19:40:00,Marrara,3525,PA,47.0,1431.0,1608.0,1607.0,1602.0,3525_PA
199,3291,2010,2010-07-17 19:40:00,Marrara,3525,WB,83.0,1906.0,1769.0,1739.3333333333333,1739.2,3525_WB
200,3292,2010,2010-07-18 13:10:00,Docklands,3526,SY,107.0,1916.0,1951.0,1695.0,1702.2,3526_SY
201,3292,2010,2010-07-18 13:10:00,Docklands,3526,CA,68.0,1389.0,1523.0,1596.0,1701.4,3526_CA
202,3293,2010,2010-07-18 14:10:00,MCG,3527,NM,103.0,1827.0,1366.0,1473.0,1548.6,3527_NM
203,3293,2010,2010-07-18 14:10:00,MCG,3527,RI,53.0,1479.0,1752.0,1716.0,1671.4,3527_RI
204,3294,2010,2010-07-18 16:40:00,Subiaco,3528,ME,71.0,1626.0,1667.0,1533.0,1561.2,3528_ME
205,3294,2010,2010-07-18 16:40:00,Subiaco,3528,FR,82.0,1696.0,1540.0,1630.3333333333333,1579.8,3528_FR
206,3295,2010,2010-07-23 19:40:00,Docklands,3529,SK,87.0,1697.0,1516.0,1700.0,1753.0,3529_SK
207,3295,2010,2010-07-23 19:40:00,Docklands,3529,HW,87.0,1645.0,2057.0,1793.3333333333333,1786.2,3529_HW
208,3296,2010,2010-07-24 14:10:00,MCG,3530,CO,127.0,1954.0,1789.0,1815.3333333333333,1780.4,3530_CO
209,3296,2010,2010-07-24 14:10:00,MCG,3530,RI,45.0,1362.0,1479.0,1637.6666666666667,1684.2,3530_RI
210,3297,2010,2010-07-24 14:10:00,Kardinia,3531,GE,127.0,1978.0,1673.0,1778.0,1738.4,3531_GE
211,3297,2010,2010-07-24 14:10:00,Kardinia,3531,BL,64.0,1344.0,1258.0,1488.6666666666667,1521.4,3531_BL
212,3298,2010,2010-07-24 19:10:00,Docklands,3532,NM,119.0,1528.0,1827.0,1512.6666666666667,1596.0,3532_NM
213,3298,2010,2010-07-24 19:10:00,Docklands,3532,ES,122.0,1776.0,1514.0,1555.3333333333333,1538.0,3532_ES
214,3299,2010,2010-07-24 19:40:00,Subiaco,3533,CA,109.0,1768.0,1389.0,1530.0,1593.8,3533_CA
215,3299,2010,2010-07-24 19:40:00,Subiaco,3533,WC,83.0,1539.0,1807.0,1587.0,1560.2,3533_WC
216,3300,2010,2010-07-25 13:10:00,Docklands,3534,FR,76.0,1271.0,1696.0,1654.6666666666667,1618.4,3534_FR
