,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,player_round_id,Fanfooty Match ID,Fanfooty Match URL,Round,Year,Player ID,First Name,Surname,Team,null,DT,SC,null2,null3,null4,Kicks,Handballs,Marks,Tackles,Hitouts,Frees for,Frees against,Goals,Behinds,Not sure,Tag,Tag Notes,Tag 2,Tag 2 Notes,null5,null6,null7,null8,Position,Jumper Number,null9,null10,null11,DT own %,SC own %,AF own %,null12,AF Breakeven,null13,Contested Possessions,Clearances,Clangers,Disposal efficiency,Time on ground,Metres gained,Injured,Opposition
783,5,8258,9856,Simon,It's always Sonny,522,MID,35,True,260227,Shaun,Higgins,NTH,MID,R5,260227_R5,7341.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7341,R5,2020.0,260227.0,Shaun,Higgins,NM,3.0,34.0,35.0,20.0,34.0,52.0,6.0,8.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,Full Time,sore,Medial side of right knee heavily inspected by the docs in Q4... %s from %O and %M... conceded %F,shovel,Playing pure midfield,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,2.0,4.0,57.0,78.0,217.0,True,WB
784,6,8258,9856,Simon,It's always Sonny,522,MID,90,True,260227,Shaun,Higgins,NTH,MID,R6,260227_R6,7351.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7351,R6,2020.0,260227.0,Shaun,Higgins,NM,14.0,65.0,90.0,39.0,50.0,66.0,11.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,Full Time,shovel,%s from %P and %M plus %T... Playing pure midfield,,,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,0.0,3.0,66.0,80.0,285.0,False,ES
785,7,8258,9856,Simon,It's always Sonny,522,MID,182,True,260227,Shaun,Higgins,NTH,MID,R7,260227_R7,7359.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7359,R7,2020.0,260227.0,Shaun,Higgins,NM,26.0,121.0,182.0,94.0,99.0,138.0,14.0,22.0,5.0,5.0,0.0,3.0,1.0,0.0,0.0,Full Time,hot,%O and %M plus %T... umps paid him %4FF,switch,Starting on a HBF... switched to midfield in Q3,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,4.0,1.0,86.0,89.0,517.0,False,RI
786,8,8258,9856,Simon,It's always Sonny,522,MID,90,True,260227,Shaun,Higgins,NTH,MID,R8,260227_R8,7366.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7366,R8,2020.0,260227.0,Shaun,Higgins,NM,18.0,79.0,90.0,106.0,54.0,78.0,13.0,6.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,Full Time,shovel,%D and %T... umps paid him %4FF... Playing pure midfield,,,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,3.0,6.0,63.0,83.0,428.0,False,CA
787,9,8258,9856,Simon,It's always Sonny,522,MID,109,True,260227,Shaun,Higgins,NTH,MID,R9,260227_R9,7377.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7377,R9,2020.0,260227.0,Shaun,Higgins,NM,21.0,88.0,109.0,112.0,71.0,93.0,11.0,7.0,5.0,4.0,0.0,1.0,1.0,2.0,0.0,Full Time,gun,%s from %D and %M with %T,shovel,Playing pure midfield,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,2.0,88.0,84.0,354.0,False,AD
788,10,8258,9856,Simon,It's always Sonny,522,MID,109,True,260227,Shaun,Higgins,NTH,MID,R10,260227_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,1,21562,186,Mark,GetRichOrDieTryin,460,MID,93,True,1002222,James,Worpel,HAW,MID,R1,1002222_R1,7308.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7308,R1,2020.0,1002222.0,James,Worpel,HW,14.0,81.0,93.0,107.0,62.0,85.0,13.0,6.0,5.0,4.0,0.0,1.0,1.0,0.0,1.0,Full Time,hot,%D and %M with %T... %s as well,shovel,Playing inside midfield,362500.0,,527000.0,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,,,7.0,2.0,2.0,68.0,78.0,333.0,False,BL
790,2,21562,186,Mark,GetRichOrDieTryin,460,MID,91,True,1002222,James,Worpel,HAW,MID,R2,1002222_R2,7311.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7311,R2,2020.0,1002222.0,James,Worpel,HW,18.0,70.0,91.0,58.0,47.0,69.0,9.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,Full Time,shovel,%P and %T... Playing inside midfield,,,362500.0,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,,,9.0,5.0,0.0,60.0,78.0,331.0,False,GE
791,3,21562,186,Mark,GetRichOrDieTryin,460,MID,72,True,1002222,James,Worpel,HAW,MID,R3,1002222_R3,7319.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7319,R3,2020.0,1002222.0,James,Worpel,HW,20.0,68.0,72.0,62.0,56.0,85.0,8.0,9.0,4.0,7.0,0.0,0.0,5.0,0.0,1.0,Full Time,shovel,%P and %M plus %T... %s as well... gave away %F... Playing inside midfield,,,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.0,1.0,10.0,70.0,90.0,251.0,False,RI
792,4,21562,186,Mark,GetRichOrDieTryin,460,MID,133,True,1002222,James,Worpel,HAW,MID,R4,1002222_R4,7336.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7336,R4,2020.0,1002222.0,James,Worpel,HW,25.0,99.0,133.0,131.0,70.0,103.0,13.0,11.0,1.0,9.0,0.0,1.0,1.0,0.0,1.0,Full Time,hot,%D and %T plus %s,shovel,Playing inside midfield,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,3.0,2.0,58.0,77.0,254.0,False,NM
793,5,21562,186,Mark,GetRichOrDieTryin,460,MID,77,True,1002222,James,Worpel,HAW,MID,R5,1002222_R5,7345.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7345,R5,2020.0,1002222.0,James,Worpel,HW,19.0,74.0,77.0,53.0,52.0,75.0,12.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,Full Time,dutchy,Tagged by de Boer... %P including %K... also %T and %M,shovel,Playing inside midfield,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.0,3.0,4.0,62.0,86.0,146.0,False,WS
794,6,21562,186,Mark,GetRichOrDieTryin,460,MID,83,True,1002222,James,Worpel,HAW,MID,R6,1002222_R6,7347.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7347,R6,2020.0,1002222.0,James,Worpel,HW,13.0,74.0,83.0,49.0,54.0,75.0,12.0,6.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,Full Time,shovel,%O and %M plus %T... Playing inside midfield,,,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.0,2.0,1.0,61.0,82.0,235.0,False,CO
795,7,21562,186,Mark,GetRichOrDieTryin,460,MID,58,True,1002222,James,Worpel,HAW,MID,R7,1002222_R7,7361.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7361,R7,2020.0,1002222.0,James,Worpel,HW,9.0,51.0,58.0,70.0,40.0,60.0,9.0,5.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,Full Time,shovel,%O and %M plus %T... gave away %F... Playing inside midfield,,,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,3.0,5.0,64.0,85.0,222.0,False,ME
796,8,21562,186,Mark,GetRichOrDieTryin,460,MID,77,True,1002222,James,Worpel,HAW,MID,R8,1002222_R8,7367.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7367,R8,2020.0,1002222.0,James,Worpel,HW,12.0,66.0,77.0,47.0,48.0,69.0,10.0,7.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,Full Time,shovel,%P and %T... Playing inside midfield,,,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,6.0,4.0,64.0,88.0,244.0,False,SY
797,9,21562,186,Mark,GetRichOrDieTryin,460,MID,117,True,1002222,James,Worpel,HAW,MID,R9,1002222_R9,7375.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7375,R9,2020.0,1002222.0,James,Worpel,HW,15.0,75.0,117.0,65.0,61.0,87.0,8.0,12.0,4.0,5.0,0.0,1.0,2.0,0.0,0.0,Full Time,shovel,%P and %M plus %T... Playing inside midfield,,,,,,,Midfielder,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.0,1.0,2.0,50.0,81.0,102.0,False,CA
798,10,21562,186,Mark,GetRichOrDieTryin,460,MID,0,False,1002222,James,Worpel,HAW,MID,R10,1002222_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,1,21562,186,Mark,GetRichOrDieTryin,617,FWD,90,True,290032,Kane,Lambert,RIC,FWD,R1,290032_R1,7301.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7301,R1,2020.0,290032.0,Kane,Lambert,RI,10.0,59.0,90.0,72.0,49.0,64.0,6.0,8.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,Full Time,shovel,%s from %D and %M with %T... Rotating between midfield and attack,,,502800.0,,477900.0,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,589000.0,,,6.0,4.0,1.0,78.0,82.0,203.0,False,CA
800,2,21562,186,Mark,GetRichOrDieTryin,617,FWD,58,True,290032,Kane,Lambert,RIC,FWD,R2,290032_R2,7310.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7310,R2,2020.0,290032.0,Kane,Lambert,RI,13.0,57.0,58.0,40.0,46.0,69.0,9.0,8.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,Full Time,spearhead,%O and %M plus %T... conceded %F... Rotating between midfield and attack,,,502800.0,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,589000.0,,,5.0,3.0,3.0,47.0,89.0,282.0,False,CO
801,3,21562,186,Mark,GetRichOrDieTryin,617,FWD,59,True,290032,Kane,Lambert,RIC,FWD,R3,290032_R3,7319.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7319,R3,2020.0,290032.0,Kane,Lambert,RI,3.0,41.0,59.0,53.0,35.0,51.0,8.0,6.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,Full Time,shovel,%O and %M... Rotating between midfield and attack,,,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,3.0,4.0,57.0,69.0,142.0,False,HW
802,4,21562,186,Mark,GetRichOrDieTryin,617,FWD,60,False,290032,Kane,Lambert,RIC,FWD,R4,290032_R4,7331.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7331,R4,2020.0,290032.0,Kane,Lambert,RI,8.0,40.0,60.0,42.0,30.0,45.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Full Time,shovel,%D with %b by hand... also %T... Rotating between midfield and attack,,,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,1.0,90.0,74.0,48.0,False,SK
803,5,21562,186,Mark,GetRichOrDieTryin,617,FWD,158,True,290032,Kane,Lambert,RIC,FWD,R5,290032_R5,7344.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7344,R5,2020.0,290032.0,Kane,Lambert,RI,30.0,105.0,158.0,80.0,92.0,120.0,11.0,16.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,Full Time,star,%s from %D and %M,shovel,Rotating between midfield and attack,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,5.0,1.0,88.0,80.0,251.0,False,ME
804,6,21562,186,Mark,GetRichOrDieTryin,617,FWD,109,True,290032,Kane,Lambert,RIC,FWD,R6,290032_R6,7353.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7353,R6,2020.0,290032.0,Kane,Lambert,RI,25.0,100.0,109.0,132.0,77.0,105.0,13.0,9.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,Full Time,cherry,%D and %M with %T,shovel,Rotating between midfield and attack,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,2.0,3.0,72.0,85.0,388.0,False,SY
805,7,21562,186,Mark,GetRichOrDieTryin,617,FWD,89,True,290032,Kane,Lambert,RIC,FWD,R7,290032_R7,7359.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7359,R7,2020.0,290032.0,Kane,Lambert,RI,9.0,68.0,89.0,84.0,57.0,78.0,7.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,Full Time,shovel,%P and %M plus %T... Rotating between midfield and attack,,,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,1.0,1.0,84.0,88.0,279.0,False,NM
806,8,21562,186,Mark,GetRichOrDieTryin,617,FWD,90,True,290032,Kane,Lambert,RIC,FWD,R8,290032_R8,7365.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7365,R8,2020.0,290032.0,Kane,Lambert,RI,9.0,60.0,90.0,57.0,45.0,63.0,5.0,9.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,Full Time,dutchy,Tagged by de Boer... %D and %M with %T,shovel,Rotating between midfield and attack,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.0,4.0,2.0,71.0,86.0,121.0,False,WS
807,9,21562,186,Mark,GetRichOrDieTryin,617,FWD,70,True,290032,Kane,Lambert,RIC,FWD,R9,290032_R9,7373.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7373,R9,2020.0,290032.0,Kane,Lambert,RI,9.0,59.0,70.0,43.0,51.0,70.0,8.0,9.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,Full Time,shovel,%s from %D and %M with %T... Rotating between midfield and attack,,,,,,,Forward,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,3.0,88.0,85.0,292.0,False,WB
808,10,21562,186,Mark,GetRichOrDieTryin,617,FWD,82,True,290032,Kane,Lambert,RIC,FWD,R10,290032_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,1,21562,186,Mark,GetRichOrDieTryin,80,DEF,87,True,271072,Daniel,Rich,BRL,DEF,R1,271072_R1,7308.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7308,R1,2020.0,271072.0,Daniel,Rich,BL,8.0,60.0,87.0,16.0,46.0,63.0,16.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,Full Time,guard,%P with %k by foot... also %M... Starting at half back,,,433300.0,,525800.0,,Back Midfielder,10.0,0.0,0.0,0.0,0.0,0.0,0.0,519000.0,,,5.0,0.0,3.0,82.0,85.0,407.0,False,HW
