,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position
623,55,free_agent,,298336,Nakia,Cockatoo,BRL,MID FWD
624,63,free_agent,,1006150,Tom,Joyce,BRL,FWD MID
625,66,free_agent,,1013978,James,Madden,BRL,DEF FWD
626,70,free_agent,,1006085,Connor,McFadyen,BRL,FWD
627,76,free_agent,,1009386,Jaxon,Prior,BRL,DEF
628,83,free_agent,,1009242,Brock,Smith,BRL,DEF
629,84,free_agent,,1006033,Ely,Smith,BRL,FWD MID
630,104,free_agent,,1002938,Josh,Honey,CAR,MID FWD
631,106,free_agent,,1009241,Brodie,Kemp,CAR,MID
632,116,free_agent,,1013973,Matthew,Owies,CAR,FWD
633,122,free_agent,,1002942,Sam,Ramsay,CAR,MID
634,132,free_agent,,1009186,Trent,Bianco,COL,DEF MID
635,150,free_agent,,1000960,Max,Lynch,COL,RUC FWD
636,160,free_agent,,1005107,Nathan,Murphy,COL,DEF
637,165,free_agent,,1015793,Jay,Rantall,COL,MID
638,171,free_agent,,1013975,Anton,Tohill,COL,FWD
639,172,free_agent,,993797,Tom,Wilson,COL,FWD
640,175,free_agent,,1011954,Nick,Bryan,ESS,RUC
641,189,free_agent,,1020224,Tom,Hird,ESS,MID
642,192,free_agent,,1006506,Lachlan,Johnson,ESS,MID FWD
643,193,free_agent,,1011755,Harrison,Jones,ESS,FWD
644,196,free_agent,,1018969,Cian,McBride,ESS,DEF
645,199,free_agent,,1019156,Ross,McQuillan,ESS,DEF FWD
646,232,free_agent,,1002354,Stefan,Giro,FRE,MID
647,239,free_agent,,1000980,Lloyd,Meek,FRE,RUC
648,249,free_agent,,1009381,Leno,Thomas,FRE,DEF
649,252,free_agent,,1004850,Luke,Valente,FRE,MID
650,268,free_agent,,1009334,Matt,Conroy,GCS,RUC
651,289,free_agent,,1000044,Jez,McLennan,GCS,DEF
652,292,free_agent,,1016116,Patrick,Murtagh,GCS,FWD
653,297,free_agent,,1005986,Malcolm,Rosas,GCS,FWD
654,303,free_agent,,281075,Rory,Thompson,GCS,DEF
655,304,free_agent,,1019157,Luke,Towey,GCS,DEF
656,311,free_agent,,1006101,Oscar,Brownless,GEE,FWD
657,318,free_agent,,1009229,Sam,De Koning,GEE,DEF
658,320,free_agent,,1017255,Francis,Evans,GEE,FWD
659,332,free_agent,,997254,Nathan,Kreuger,GEE,FWD
660,338,free_agent,,1013977,Stefan,Okunbor,GEE,DEF
661,346,free_agent,,1004948,Cooper,Stephens,GEE,MID
662,349,free_agent,,1008603,Cameron,Taheny,GEE,FWD
663,354,free_agent,,1008436,Kieren,Briggs,GWS,DEF FWD
664,355,free_agent,,1014038,Callum M.,Brown,GWS,DEF
665,366,free_agent,,993902,Matt,Flynn,GWS,RUC
666,387,free_agent,,1002296,Nick,Shipley,GWS,MID
667,388,free_agent,,998225,Zach,Sproule,GWS,FWD
668,414,free_agent,,1005150,Emerson,Jeka,HAW,FWD
669,416,free_agent,,1006030,Jacob,Koschitzke,HAW,DEF
670,429,free_agent,,1011873,Harry,Pepper,HAW,DEF
671,431,free_agent,,1001024,Ned,Reeves,HAW,RUC
672,442,free_agent,,1014081,Austin,Bradtke,MEL,RUC
673,456,free_agent,,1013409,James,Jordon,MEL,MID
674,465,free_agent,,1004695,Aaron,Nietschke,MEL,MID
675,485,free_agent,,1015781,Charlie,Comben,NTH,RUC FWD
676,499,free_agent,,1006653,Matt,McGuinness,NTH,DEF
677,524,free_agent,,1009191,Miles,Bergman,PTA,FWD
678,527,free_agent,,1008531,Trent,Burgoyne,PTA,MID FWD
679,537,free_agent,,999320,Martin,Frederick,PTA,DEF
680,543,free_agent,,1002248,Sam,Hayes,PTA,RUC
681,554,free_agent,,1005326,Jackson,Mead,PTA,MID
682,556,free_agent,,1009389,Jake,Pasini,PTA,DEF
683,561,free_agent,,1009195,Dylan,Williams,PTA,MID FWD
684,575,free_agent,,1008297,Riley,Collier-Dawkins,RIC,MID
685,577,free_agent,,1009308,Noah,Cumberland,RIC,MID FWD
686,587,free_agent,,1009313,Will,Martyn,RIC,MID
687,589,free_agent,,1002403,Ben,Miller,RIC,DEF
688,592,free_agent,,1006193,Bigoa,Nyuon,RIC,DEF RUC
689,595,free_agent,,1011985,Hugo,Ralphsmith,RIC,MID FWD
690,605,free_agent,,1013976,Sam,Alabakis,STK,RUC
691,609,free_agent,,1011994,Ryan,Byrnes,STK,MID
692,613,free_agent,,1002266,Oscar,Clavarino,STK,DEF
693,615,free_agent,,1009228,Leo,Connolly,STK,DEF MID
694,657,free_agent,,1004113,Will,Gould,SYD,DEF
695,674,free_agent,,1019158,Barry,O'Connor,SYD,DEF FWD
696,700,free_agent,,1006533,Riley,Garcia,WBD,MID
697,708,free_agent,,998782,Buku,Khamis,WBD,DEF
698,720,free_agent,,992330,Jordon,Sweet,WBD,RUC
699,740,free_agent,,1011437,Harry,Edwards,WCE,DEF
700,746,free_agent,,1011243,Callum,Jamieson,WCE,RUC
701,747,free_agent,,1011464,Ben,Johnson,WCE,DEF
702,328,free_agent,,1015889,Max,Holmes,GEE,MID FWD
703,1,free_agent,,1012807,Sam,Berry,ADE,MID
704,5,free_agent,,1018335,Brayden,Cook,ADE,MID FWD
705,33,free_agent,,999316,James,Rowe,ADE,FWD
706,56,free_agent,,1013256,Blake,Coleman,BRL,FWD
707,81,free_agent,,1007099,Harry,Sharp,BRL,DEF MID
708,85,free_agent,,1016189,Henry,Smith,BRL,RUC
709,90,free_agent,,1013233,Jack,Carroll,CAR,MID
710,100,free_agent,,1008510,Corey,Durdin,CAR,MID FWD
711,155,free_agent,,1004757,Beau,McCreery,COL,FWD
712,156,free_agent,,1013278,Reef,McInnes,COL,MID
713,157,free_agent,,1012842,Liam,McMahon,COL,FWD
714,163,free_agent,,1011589,Caleb,Poulter,COL,MID FWD
715,174,free_agent,,1012837,Cody,Brand,ESS,DEF
716,182,free_agent,,1015712,Joshua,Eyre,ESS,DEF FWD
717,241,free_agent,,1013220,Nathan,O'Driscoll,FRE,MID
718,253,free_agent,,1009410,Brandon,Walker,FRE,DEF
719,256,free_agent,,1009401,Joel,Western,FRE,MID
720,336,free_agent,,1016433,Shannon,Neale,GEE,RUC FWD
721,347,free_agent,,1007101,Nick,Stevens,GEE,DEF
722,365,free_agent,,1012863,Cameron,Fleeton,GWS,DEF
723,394,free_agent,,1004530,Jacob,Wehr,GWS,DEF
724,397,free_agent,,1013511,Tyler,Brockman,HAW,MID FWD
725,403,free_agent,,1012830,Connor,Downie,HAW,MID
726,420,free_agent,,1018016,Seamus,Mitchell,HAW,FWD
727,441,free_agent,,1012825,Jake,Bowey,MEL,MID FWD
728,458,free_agent,,1012826,Bailey,Laurie,MEL,DEF FWD
729,471,free_agent,,1013086,Fraser,Rosman,MEL,MID FWD
730,490,free_agent,,1012833,Eddie,Ford,NTH,FWD
731,496,free_agent,,1012852,Charlie,Lazzaro,NTH,MID
732,508,free_agent,,1011647,Phoenix,Spicer,NTH,MID FWD
733,549,free_agent,,1012881,Ollie,Lord,PTA,FWD
734,598,free_agent,,1009551,Maurice,Rioli,RIC,MID FWD
735,600,free_agent,,1012386,Samson,Ryan,RIC,RUC
736,623,free_agent,,998195,Thomas,Highmore,STK,DEF
737,635,free_agent,,1015714,Matthew,McLeod-Allison,STK,FWD
738,659,free_agent,,1013128,Errol,Gulden,SYD,MID
739,688,free_agent,,1015822,Dominic,Bedendo,WBD,FWD
740,741,free_agent,,1006576,Luke,Edwards,WCE,MID
741,769,free_agent,,1009291,Isiah,Winder,WCE,DEF MID
742,2,free_agent,,1009029,James,Borlase,ADE,DEF
744,73,free_agent,,1013260,Carter,Michael,BRL,MID
745,87,free_agent,,1021659,Deividas,Uosis,BRL,DEF
746,117,free_agent,,1012409,Luke,Parks,CAR,DEF
747,136,free_agent,,1015901,Isaac,Chugg,COL,DEF FWD
748,142,free_agent,,1012857,Jack,Ginnivan,COL,MID FWD
749,250,free_agent,,1012819,Josh,Treacy,FRE,RUC FWD
750,270,free_agent,,1013268,Alex,Davies,GCS,MID
751,276,free_agent,,1013263,Aiden,Fyfe,GCS,DEF MID
752,283,free_agent,,1005992,Joel,Jeffrey,GCS,DEF
753,293,free_agent,,1013247,Rhys,Nicholls,GCS,DEF
754,294,free_agent,,1009320,Hawego Paul,Oea,GCS,MID FWD
755,350,free_agent,,1007049,Paul,Tsapatolis,GEE,RUC
756,386,free_agent,,1015688,Will,Shaw,GWS,DEF
757,432,free_agent,,1008600,Jack,Saunders,HAW,MID FWD
758,516,free_agent,,1013191,Patrick,Walker,NTH,DEF
759,560,free_agent,,1012310,Taj,Schofield,PTA,MID
760,574,free_agent,,1021660,Mate,Colina,RIC,RUC
761,650,free_agent,,1011650,Malachy,Carruthers,SYD,DEF
762,682,free_agent,,1013138,Marc,Sheather,SYD,FWD
763,714,free_agent,,1009015,Lachlan,McNeil,WBD,MID
764,764,free_agent,,1011449,Zane,Trew,WCE,MID
765,773,free_agent,,1008478,Rhyan,Mansell,RIC,DEF
766,774,free_agent,,992597,Paul,Hunter,STK,RUC
767,775,free_agent,,992048,Anthony,Scott,WBD,MID FWD
768,776,free_agent,,298445,Alec,Waterman,ESS,FWD
769,777,free_agent,,1000864,Lachlan,Bramble,HAW,MID
770,778,free_agent,,1008975,Kaine,Baldwin,ESS,FWD
771,779,free_agent,,1008230,Nicholas,Murray,ADE,DEF
772,781,free_agent,,1009288,Deakyn,Smith,MEL,DEF
773,784,free_agent,,1013153,Patrick,Parnell,ADE,DEF
774,785,free_agent,,1018296,Kalin,Lane,BRL,RUC
775,786,free_agent,,1002795,Jordan,Boyd,CAR,DEF
776,787,free_agent,,1023446,Alex,Mirkov,CAR,RUC
777,788,free_agent,,1015748,Aiden,Begg,COL,RUC
778,789,free_agent,,997974,Ashley,Johnson,COL,FWD
779,790,free_agent,,1015810,Sam,Durham,ESS,DEF MID
780,791,free_agent,,1021013,Ned,Moyle,GCS,RUC
781,792,free_agent,,1006013,James,Peatling,GWS,DEF MID
782,793,free_agent,,1013208,Jackson,Callow,HAW,FWD
783,794,free_agent,,1020895,Jai,Newcombe,HAW,MID
784,795,free_agent,,997916,Kye,Declase,MEL,DEF MID
786,797,free_agent,,1015895,Jacob,Edwards,NTH,RUC FWD
787,798,free_agent,,1015760,Charlie,Ham,NTH,DEF
788,799,free_agent,,1004819,Jed,McEntee,PTA,MID
789,801,free_agent,,1015886,Max,Heath,STK,RUC
790,802,free_agent,,1018018,Cooper,Sharman,STK,FWD
791,803,free_agent,,1021200,Lachlan,McAndrew,SYD,RUC
793,805,free_agent,,1003192,Connor,West,WCE,MID
794,780,free_agent,,992472,Oscar,McDonald,CAR,DEF
795,558,free_agent,,270919,Tom,*** Rockliff,PTA,MID
796,112,free_agent,,250105,Marc,*** Murphy,CAR,MID
797,235,free_agent,,280336,Stephen,*** Hill,FRE,DEF
798,706,free_agent,,295313,Lin,*** Jong,WBD,FWD MID
799,434,free_agent,,280969,Tom,*** Scully,HAW,FWD MID
800,11,free_agent,,250417,Bryce,*** Gibbs,ADE,DEF
801,143,free_agent,,270861,Levi,*** Greenwood,COL,MID
802,428,free_agent,,291821,Jonathon,*** Patton,HAW,FWD
803,766,free_agent,,998414,Daniel,*** Venables,WCE,FWD
804,638,free_agent,,280933,Dylan,*** Roberton,STK,DEF
