,round,coach_id,coach_team_id,coach_first_name,coach_team_name,wins,draws,losses,points_for,points_against,league_points,position
0,14,45168,5524,Luke,The Dragon's Laird,6,0,8,23040,23338,24,6
0,14,10857,189,Anthony,The Full Bonty,4,0,10,22806,23570,16,7
0,14,71052,9867,James,Bad Boys For Fyfe,4,0,10,21595,23157,16,8
0,15,86078,9806,Lester,HoweIMetYourMother,10,0,4,23633,22410,40,1
0,15,180650,33301,Jordan,"What's Up, Doch?",10,0,4,22704,22051,40,2
0,15,21562,186,Mark,GetRichOrDieTryin,8,0,6,23368,22746,32,3
0,15,8258,9856,Simon,It's always Sonny,7,0,7,23105,22678,28,4
0,15,300791,182,Paul,Coronaviney,7,0,7,22408,22709,28,5
0,15,45168,5524,Luke,The Dragon's Laird,6,0,8,23040,23338,24,6
0,15,10857,189,Anthony,The Full Bonty,4,0,10,22806,23570,16,7
0,15,71052,9867,James,Bad Boys For Fyfe,4,0,10,21595,23157,16,8
0,16,180650,33301,Jordan,"What's Up, Doch?",11,0,4,24456,23396,44,1
0,16,86078,9806,Lester,HoweIMetYourMother,10,0,5,24966,24275,40,2
0,16,8258,9856,Simon,It's always Sonny,8,0,7,24970,24011,32,3
0,16,21562,186,Mark,GetRichOrDieTryin,8,0,7,24896,24438,32,4
0,16,300791,182,Paul,Coronaviney,8,0,7,24100,24237,32,5
0,16,45168,5524,Luke,The Dragon's Laird,7,0,8,24852,24802,28,6
0,16,10857,189,Anthony,The Full Bonty,4,0,11,24270,25382,16,7
0,16,71052,9867,James,Bad Boys For Fyfe,4,0,11,22940,24909,16,8
0,17,180650,33301,Jordan,"What's Up, Doch?",11,0,5,25891,25118,44,1
0,17,86078,9806,Lester,HoweIMetYourMother,10,0,6,26683,26077,40,2
0,17,8258,9856,Simon,It's always Sonny,9,0,7,26692,25446,36,3
0,17,21562,186,Mark,GetRichOrDieTryin,9,0,7,26698,26155,36,4
0,17,300791,182,Paul,Coronaviney,9,0,7,25455,25392,36,5
0,17,45168,5524,Luke,The Dragon's Laird,8,0,8,26494,26197,32,6
0,17,10857,189,Anthony,The Full Bonty,4,0,12,25425,26737,16,7
0,17,71052,9867,James,Bad Boys For Fyfe,4,0,12,24335,26551,16,8
0,18,180650,33301,Jordan,"What's Up, Doch?",11,0,6,27423,26876,44,1
0,18,8258,9856,Simon,It's always Sonny,10,0,7,28392,27138,40,2
0,18,21562,186,Mark,GetRichOrDieTryin,10,0,7,28456,27687,40,3
0,18,86078,9806,Lester,HoweIMetYourMother,10,0,7,28263,27920,40,4
0,18,300791,182,Paul,Coronaviney,10,0,7,27298,26972,40,5
0,18,45168,5524,Luke,The Dragon's Laird,8,0,9,28186,27897,32,6
0,18,71052,9867,James,Bad Boys For Fyfe,5,0,12,25905,28087,20,7
0,18,10857,189,Anthony,The Full Bonty,4,0,13,26961,28307,16,8
