,player_id,total_games,total_points,average
0,498,17,1623,95.47058823529412
0,499,0,0,
0,500,11,683,62.09090909090909
0,502,3,135,45.0
0,504,13,1156,88.92307692307692
0,506,13,804,61.84615384615385
0,507,17,1581,93.0
0,509,12,791,65.91666666666667
0,510,16,1379,86.1875
0,511,9,529,58.77777777777778
0,512,6,324,54.0
0,513,0,0,
0,514,0,0,
0,515,17,1043,61.35294117647059
0,517,2,130,65.0
0,518,4,198,49.5
0,519,2,94,47.0
0,520,8,384,48.0
0,521,16,1006,62.875
0,522,14,837,59.785714285714285
0,523,17,1365,80.29411764705883
0,524,0,0,
0,525,17,1868,109.88235294117646
0,526,9,533,59.22222222222222
0,527,0,0,
0,528,6,356,59.333333333333336
0,529,15,1316,87.73333333333333
0,530,17,1398,82.23529411764706
0,531,16,999,62.4375
0,532,16,1485,92.8125
0,533,0,0,
0,534,13,964,74.15384615384616
0,535,5,281,56.2
0,536,11,633,57.54545454545455
0,537,0,0,
0,538,0,0,
0,539,7,413,59.0
0,541,17,1554,91.41176470588235
0,542,17,1335,78.52941176470588
0,543,0,0,
0,544,15,1366,91.06666666666666
0,545,17,1182,69.52941176470588
0,547,8,685,85.625
0,548,5,299,59.8
0,550,13,1260,96.92307692307692
0,551,12,843,70.25
0,552,6,425,70.83333333333333
0,553,15,1084,72.26666666666667
0,554,0,0,
0,555,12,689,57.416666666666664
0,556,0,0,
0,557,17,1280,75.29411764705883
0,558,14,1493,106.64285714285714
0,559,14,983,70.21428571428571
0,561,0,0,
0,562,15,1565,104.33333333333333
0,563,5,270,54.0
0,564,13,797,61.30769230769231
0,565,5,414,82.8
0,566,16,1248,78.0
0,567,13,904,69.53846153846153
0,568,15,1291,86.06666666666666
0,569,13,845,65.0
0,570,8,499,62.375
0,571,17,1079,63.470588235294116
0,572,10,609,60.9
0,573,0,0,
0,575,0,0,
0,576,13,1073,82.53846153846153
0,577,0,0,
0,578,2,68,34.0
0,579,6,517,86.16666666666667
0,580,0,0,
0,581,12,997,83.08333333333333
0,582,16,1140,71.25
0,583,9,780,86.66666666666667
0,584,16,1328,83.0
0,585,16,1092,68.25
0,586,16,1613,100.8125
0,587,0,0,
0,588,14,994,71.0
0,589,0,0,
0,590,1,42,42.0
0,591,7,577,82.42857142857143
0,592,0,0,
0,593,15,1079,71.93333333333334
0,594,5,462,92.4
0,595,0,0,
0,596,17,1090,64.11764705882354
0,597,14,890,63.57142857142857
0,599,7,434,62.0
0,601,17,1643,96.6470588235294
0,602,14,1050,75.0
0,603,9,465,51.666666666666664
0,604,16,1440,90.0
0,605,0,0,
0,606,13,878,67.53846153846153
0,607,17,1629,95.82352941176471
0,608,17,1319,77.58823529411765
0,609,1,22,22.0
0,610,3,174,58.0
0,611,12,832,69.33333333333333
0,612,16,1307,81.6875
0,613,0,0,
0,614,16,1270,79.375
0,615,0,0,
0,616,12,1002,83.5
0,617,1,92,92.0
0,618,14,771,55.07142857142857
0,619,14,835,59.642857142857146
0,620,11,897,81.54545454545455
0,621,6,420,70.0
0,622,10,781,78.1
0,624,17,1120,65.88235294117646
0,625,17,1124,66.11764705882354
0,626,14,1289,92.07142857142857
0,627,0,0,
0,628,13,811,62.38461538461539
0,629,16,975,60.9375
0,630,14,1001,71.5
0,631,11,719,65.36363636363636
0,632,17,1763,103.70588235294117
0,633,0,0,
0,634,9,412,45.77777777777778
0,636,16,1083,67.6875
0,637,17,1089,64.05882352941177
0,638,1,26,26.0
0,639,14,1089,77.78571428571429
0,640,13,1224,94.15384615384616
0,641,10,794,79.4
0,642,17,2082,122.47058823529412
0,643,0,0,
0,644,17,1294,76.11764705882354
0,645,1,52,52.0
0,646,8,398,49.75
0,647,16,949,59.3125
0,648,2,114,57.0
0,651,10,759,75.9
0,652,17,1270,74.70588235294117
0,653,16,1366,85.375
0,654,17,1292,76.0
0,655,14,1005,71.78571428571429
0,656,0,0,
0,657,0,0,
0,658,7,360,51.42857142857143
0,660,16,974,60.875
0,661,6,564,94.0
0,662,6,465,77.5
0,663,3,162,54.0
0,664,12,1147,95.58333333333333
0,665,3,91,30.333333333333332
0,666,17,2077,122.17647058823529
0,667,14,815,58.214285714285715
0,669,9,644,71.55555555555556
0,670,6,354,59.0
0,671,9,544,60.44444444444444
0,672,15,1521,101.4
0,673,2,200,100.0
0,674,0,0,
0,675,8,399,49.875
0,676,17,1356,79.76470588235294
0,677,17,1807,106.29411764705883
0,678,11,1008,91.63636363636364
0,679,10,611,61.1
0,680,3,171,57.0
0,681,16,1208,75.5
0,683,13,1002,77.07692307692308
0,684,8,503,62.875
0,685,9,445,49.44444444444444
0,686,2,67,33.5
0,687,7,412,58.857142857142854
0,689,17,1974,116.11764705882354
0,690,16,819,51.1875
0,691,2,102,51.0
0,692,3,136,45.333333333333336
0,693,13,759,58.38461538461539
0,694,14,1066,76.14285714285714
0,695,9,500,55.55555555555556
0,696,17,1726,101.52941176470588
0,697,11,1147,104.27272727272727
0,698,2,182,91.0
0,699,17,1744,102.58823529411765
0,700,0,0,
0,701,9,390,43.333333333333336
0,702,9,475,52.77777777777778
0,703,2,95,47.5
0,704,9,1036,115.11111111111111
0,705,16,1335,83.4375
0,706,3,222,74.0
0,707,17,1025,60.294117647058826
0,708,0,0,
0,709,15,1591,106.06666666666666
0,710,12,960,80.0
0,711,17,2057,121.0
0,712,6,304,50.666666666666664
0,713,12,819,68.25
0,715,11,675,61.36363636363637
0,716,16,921,57.5625
0,717,2,78,39.0
0,718,17,1565,92.05882352941177
0,719,5,291,58.2
0,720,0,0,
0,721,8,875,109.375
0,723,12,623,51.916666666666664
0,724,17,1202,70.70588235294117
0,725,3,97,32.333333333333336
0,726,4,230,57.5
0,727,17,1432,84.23529411764706
0,728,12,665,55.416666666666664
0,729,1,0,0.0
0,730,15,866,57.733333333333334
0,731,8,378,47.25
0,732,14,1100,78.57142857142857
0,733,17,1415,83.23529411764706
0,734,8,440,55.0
0,735,5,143,28.6
0,736,14,950,67.85714285714286
0,737,13,904,69.53846153846153
0,738,17,1376,80.94117647058823
0,739,16,1336,83.5
0,740,1,10,10.0
0,742,1,34,34.0
0,743,17,1806,106.23529411764706
0,744,16,1423,88.9375
0,745,3,88,29.333333333333332
0,746,0,0,
0,747,0,0,
0,748,2,97,48.5
0,749,17,1637,96.29411764705883
0,750,16,1031,64.4375
0,751,7,293,41.857142857142854
0,752,11,946,86.0
0,753,16,1768,110.5
0,754,14,1036,74.0
0,755,5,217,43.4
0,756,5,202,40.4
0,757,12,844,70.33333333333333
0,758,0,0,
0,759,10,617,61.7
0,760,17,1296,76.23529411764706
0,761,16,1425,89.0625
0,762,17,1559,91.70588235294117
0,763,12,1136,94.66666666666667
0,765,0,0,
0,766,0,0,
0,767,9,542,60.22222222222222
0,768,3,135,45.0
0,770,6,566,94.33333333333333
0,771,10,899,89.9
