,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
60,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,126.0,True,290847,Dustin,Martin,RIC,FWD MID,R1,Draft
61,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,79.0,True,290847,Dustin,Martin,RIC,FWD MID,R2,Draft
62,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,0.0,False,290847,Dustin,Martin,RIC,FWD MID,R3,Draft
63,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,81.0,True,290847,Dustin,Martin,RIC,FWD MID,R4,Draft
64,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,93.0,True,290847,Dustin,Martin,RIC,FWD MID,R5,Draft
65,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,66.0,True,290847,Dustin,Martin,RIC,FWD MID,R6,Draft
66,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,100.0,True,290847,Dustin,Martin,RIC,FWD MID,R7,Draft
67,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,108.0,True,290847,Dustin,Martin,RIC,FWD MID,R8,Draft
68,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,184.0,True,290847,Dustin,Martin,RIC,FWD MID,R9,Draft
69,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,111.0,True,290847,Dustin,Martin,RIC,FWD MID,R10,Draft
70,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,74.0,True,290847,Dustin,Martin,RIC,FWD MID,R11,Draft
71,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,92.0,True,290847,Dustin,Martin,RIC,FWD MID,R12,Draft
72,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,147.0,True,290847,Dustin,Martin,RIC,FWD MID,R13,Draft
73,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,97.0,True,290847,Dustin,Martin,RIC,FWD MID,R14,Draft
74,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,115.0,True,293716,Jarryd,Lyons,BRL,MID,R1,Draft
75,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,92.0,True,293716,Jarryd,Lyons,BRL,MID,R2,Draft
76,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,114.0,True,293716,Jarryd,Lyons,BRL,MID,R3,Draft
77,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,116.0,True,293716,Jarryd,Lyons,BRL,MID,R4,Draft
78,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,124.0,True,293716,Jarryd,Lyons,BRL,MID,R5,Draft
79,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,88.0,True,293716,Jarryd,Lyons,BRL,MID,R6,Draft
80,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,114.0,True,293716,Jarryd,Lyons,BRL,MID,R7,Draft
81,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,147.0,True,293716,Jarryd,Lyons,BRL,MID,R8,Draft
82,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,115.0,True,293716,Jarryd,Lyons,BRL,MID,R9,Draft
83,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,121.0,True,293716,Jarryd,Lyons,BRL,MID,R10,Draft
84,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,138.0,True,293716,Jarryd,Lyons,BRL,MID,R11,Draft
85,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,126.0,True,293716,Jarryd,Lyons,BRL,MID,R12,Draft
86,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,57.0,True,293716,Jarryd,Lyons,BRL,MID,R13,Draft
87,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,0.0,False,293716,Jarryd,Lyons,BRL,MID,R14,Draft
88,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,112.0,True,990704,Patrick,Cripps,CAR,MID,R1,Draft
89,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,117.0,True,990704,Patrick,Cripps,CAR,MID,R2,Draft
90,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,123.0,True,990704,Patrick,Cripps,CAR,MID,R3,Draft
91,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,81.0,True,990704,Patrick,Cripps,CAR,MID,R4,Draft
92,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,116.0,True,990704,Patrick,Cripps,CAR,MID,R5,Draft
93,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,56.0,True,990704,Patrick,Cripps,CAR,MID,R6,Draft
94,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,85.0,True,990704,Patrick,Cripps,CAR,MID,R7,Draft
95,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,75.0,True,990704,Patrick,Cripps,CAR,MID,R8,Draft
96,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,149.0,True,990704,Patrick,Cripps,CAR,MID,R9,Draft
97,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,0.0,False,990704,Patrick,Cripps,CAR,MID,R10,Draft
98,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,93.0,True,990704,Patrick,Cripps,CAR,MID,R11,Draft
99,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,119.0,True,990704,Patrick,Cripps,CAR,MID,R12,Draft
100,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,123.0,True,990704,Patrick,Cripps,CAR,MID,R13,Draft
101,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,81.0,True,990704,Patrick,Cripps,CAR,MID,R14,Draft
102,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,111.0,True,298272,Touk,Miller,GCS,MID,R1,Draft
103,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,98.0,True,298272,Touk,Miller,GCS,MID,R2,Draft
104,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,126.0,True,298272,Touk,Miller,GCS,MID,R3,Draft
105,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,111.0,True,298272,Touk,Miller,GCS,MID,R4,Draft
106,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,81.0,True,298272,Touk,Miller,GCS,MID,R5,Draft
107,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,142.0,True,298272,Touk,Miller,GCS,MID,R6,Draft
108,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,102.0,True,298272,Touk,Miller,GCS,MID,R7,Draft
109,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,140.0,True,298272,Touk,Miller,GCS,MID,R8,Draft
110,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,80.0,True,298272,Touk,Miller,GCS,MID,R9,Draft
