,id,first_name,last_name,team_id,price,previous_games,previous_average,previous_total,feed_id,hs_url,active,positions,team,position,long_team
140,141,Billy,Frampton,4,276000,18,51.22,922,991773,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
141,142,Harvey,Harrison,4,251000,12,46.58,559,1015332,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
142,143,William,Hayes,4,113500,0,0.0,0,1032922,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,MID FWD,Collingwood
143,144,Bobby,Hill,4,337800,23,62.7,1442,1006148,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
144,145,Will,Hoskin-Elliott,4,353500,20,65.6,1312,291720,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
145,146,Dan,Houston,4,575600,22,106.82,2350,994295,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
146,147,Jeremy,Howe,4,436700,19,81.05,1540,291313,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
147,148,Tew,Jiath,4,119900,1,24.0,24,1032017,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
148,149,Ash,Johnson,4,134000,3,17.67,53,997974,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
149,150,Patrick,Lipinski,4,407600,23,75.65,1740,1003130,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,FWD MID,Collingwood
150,151,Ned,Long,4,200900,7,41.43,290,1017124,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,MID,Collingwood
151,152,Finlay,Macrae,4,237700,9,44.11,397,1012828,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,FWD MID,Collingwood
152,153,Oleg,Markov,4,253300,12,47.0,564,298358,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
153,154,Brayden,Maynard,4,420300,23,78.0,1794,992010,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
154,155,Beau,McCreery,4,290300,17,53.88,916,1004757,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
155,156,Reef,McInnes,4,200600,9,37.22,335,1013278,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
156,157,Daniel,McStay,4,259500,5,60.2,301,297504,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
157,158,Tim,Membrey,4,341700,19,63.42,1205,294596,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
158,159,Brody,Mihocek,4,325300,11,60.36,664,291849,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
159,160,Tom,Mitchell,4,395200,6,81.5,489,291856,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,MID,Collingwood
160,161,Darcy,Moore,4,403200,23,74.83,1721,298288,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
161,162,Wil,Parker,4,181000,5,42.0,210,1012873,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
162,163,Scott,Pendlebury,4,465800,20,86.45,1729,260257,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,MID,Collingwood
163,164,Harry,Perryman,4,417500,19,77.47,1472,998205,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
164,165,Isaac,Quaynor,4,315300,23,58.52,1346,1008089,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
165,166,Jakob,Ryan,4,119900,0,0.0,0,1020104,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",COL,DEF,Collingwood
166,167,Lachie,Schultz,4,327300,20,60.75,1215,1000860,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,FWD,Collingwood
167,168,Steele,Sidebottom,4,405800,22,75.32,1657,280965,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,MID,Collingwood
168,169,Iliro,Smit,4,119900,0,0.0,0,1027834,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",COL,RUC,Collingwood
