,round,pick,coach_first_name,player_id,name,team_abbrev,scr_pos,avg,round_rank_by_pos_all_players,round_rank_by_pos_drafted_players,scr,pos_scr,scr_wgt,nearest_7_rank
141,18.0,142.0,James,100,T.De Koning,CAR,RUC,101.52941176470588,8.205882352941176,6.882352941176471,-3.269,-6.558,-7.786608000000001,6
142,18.0,143.0,Anthony,397,W.Day,HAW,MID,91.1875,35.125,23.375,-4.407,-3.287,-6.550648000000001,1
143,18.0,144.0,Jordan,181,J.Gresham,ESS,FWD,59.09090909090909,78.81818181818181,29.727272727272727,-7.941,-4.737,-7.136072,2
144,19.0,145.0,Mark,773,D.Sheed,WCE,MID,44.25,69.75,39.3125,-9.575,-9.814,-8.993664,8
145,19.0,146.0,Luke,682,L.Parker,SYD,MID,70.85714285714286,52.57142857142857,33.92857142857143,-6.646,-6.923,-7.890592000000001,8
146,19.0,147.0,Simon,534,J.Finlayson,PTA,FWD,56.75,79.29166666666667,28.791666666666668,-8.199,-5.292,-7.205696,6
147,19.0,148.0,Lester,525,R.Burton,PTA,DEF,71.92307692307692,73.07692307692308,34.03846153846154,-6.528,-3.672,-6.666416,4
148,19.0,149.0,Paul,75,C.Rayner,BRL,FWD,78.43478260869566,48.891304347826086,20.717391304347824,-5.811,-5.316,-7.14248,6
149,19.0,150.0,James,19,B.Keays,ADE,FWD,81.04347826086956,45.73913043478261,19.67391304347826,-5.524,-5.656,-7.214512,7
150,19.0,151.0,Anthony,726,R.Sanders,WBD,FWD,62.92857142857143,66.57142857142857,25.714285714285715,-7.519,-6.371,-7.283608000000001,8
151,19.0,152.0,Jordan,354,F.Callaghan,GWS,MID,81.95454545454545,42.20454545454545,29.363636363636363,-5.424,-5.717,-6.9298079999999995,8
152,20.0,153.0,Mark,177,S.Draper,ESS,FWD,75.9375,49.96875,20.59375,-6.086,-6.155,-6.586145,8
153,20.0,154.0,Luke,507,T.Powell,NTH,FWD,80.17391304347827,43.47826086956522,18.47826086956522,-5.62,-1.838,-4.436662,1
154,20.0,155.0,Simon,357,B.Daniels,GWS,FWD,90.0,34.833333333333336,16.166666666666668,-4.538,-4.552,-4.893231,1
155,20.0,156.0,Lester,23,W.Milera,ADE,DEF,67.33333333333333,78.0,37.833333333333336,-7.034,-4.679,-5.609831000000001,2
156,20.0,157.0,Paul,461,K.Pickett,MEL,FWD,73.38095238095238,54.595238095238095,21.523809523809526,-6.368,-5.045,-5.953721,4
157,20.0,158.0,James,369,C.Idun,GWS,DEF,85.0,49.02173913043478,26.82608695652174,-5.089,-4.22,-6.063974000000001,6
158,20.0,159.0,Anthony,451,S.May,MEL,DEF,90.47368421052632,42.55263157894737,21.81578947368421,-4.486,-1.606,-5.505467,2
159,20.0,160.0,Jordan,423,J.Scrimshaw,HAW,DEF,82.0,55.63636363636363,29.75,-5.419,-4.75,-6.033854,5
160,21.0,161.0,Mark,52,J.Daniher,BRL,FWD,83.91304347826087,41.67391304347826,17.58695652173913,-5.208,-4.402,-5.674062,4
161,21.0,162.0,Luke,434,J.Billings,MEL,MID,57.625,61.46875,38.625,-8.103,-7.414,-6.438949000000001,8
162,21.0,163.0,Simon,128,Z.Williams,CAR,DEF,68.0,75.36111111111111,35.388888888888886,-6.96,-6.015,-6.136605,7
163,21.0,164.0,Lester,607,R.Bonner,STK,DEF,75.3157894736842,67.52631578947368,31.894736842105264,-6.155,-2.984,-5.528861000000001,5
164,21.0,165.0,Paul,533,K.Farrell,PTA,DEF,82.5909090909091,57.15909090909091,28.363636363636363,-5.354,-2.666,-5.569043000000001,5
165,21.0,166.0,James,204,W.Setterfield,ESS,MID,107.25,22.75,19.125,-2.639,-1.31,-5.2426319999999995,3
166,21.0,167.0,Anthony,517,G.Wardlaw,NTH,MID,85.61111111111111,40.44444444444444,28.88888888888889,-5.021,-4.867,-6.133903,5
167,21.0,168.0,Jordan,511,J.Simpkin,NTH,FWD,79.66666666666667,47.666666666666664,20.444444444444443,-5.676,-5.826,-6.39349,6
168,22.0,169.0,Mark,368,J.Hogan,GWS,FWD,92.3913043478261,34.08695652173913,15.521739130434783,-4.275,1.492,-4.412844,1
169,22.0,170.0,Luke,348,L.Ash,GWS,DEF,84.76470588235294,52.14705882352941,27.176470588235293,-5.114,0.09,-4.822105,1
170,22.0,171.0,Simon,530,C.Dixon,PTA,FWD,75.5,52.78125,20.59375,-6.135,-2.085,-5.310848999999999,2
171,22.0,172.0,Lester,457,A.Neal-Bullen,MEL,FWD,85.08695652173913,37.21739130434783,16.847826086956523,-5.079,-4.12,-5.986084,2
172,22.0,173.0,Paul,87,B.Acres,CAR,MID,92.9090909090909,31.681818181818183,24.181818181818183,-4.218,-3.647,-6.8190479999999996,8
173,22.0,174.0,James,154,B.Maynard,COL,DEF,78.0,64.82608695652173,30.82608695652174,-5.859,-1.924,-6.446969,7
174,22.0,175.0,Anthony,256,B.Ainsworth,GCS,FWD,66.0,61.8235294117647,25.08823529411765,-7.181,-5.538,-6.370073,7
175,22.0,176.0,Jordan,417,C.Nash,HAW,MID,76.43478260869566,46.95652173913044,31.934782608695652,-6.032,-5.277,-6.172455,6
176,23.0,177.0,Mark,277,B.Humphrey,GCS,FWD,50.19047619047619,86.78571428571429,31.0,-8.921,-7.851,-6.610629,8
177,23.0,178.0,Luke,115,H.McKay,CAR,FWD,86.7,34.9,16.075,-4.901,0.382,-4.068743,1
178,23.0,179.0,Simon,123,M.Pittonet,CAR,RUC,89.84615384615384,10.923076923076923,9.26923076923077,-4.555,-8.701,-6.351444,6
179,23.0,180.0,Lester,503,C.McKercher,NTH,DEF,88.5,48.9375,23.9375,-4.703,-4.096,-5.71003,4
180,23.0,181.0,Paul,263,C.Budarick,GCS,DEF,63.375,84.3125,38.625,-7.47,-3.831,-5.560001999999999,2
181,23.0,182.0,James,386,C.Ward,GWS,MID,77.38888888888889,44.47222222222222,30.22222222222222,-5.927,-5.801,-6.063371999999999,5
182,23.0,183.0,Anthony,721,A.Naughton,WBD,FWD,70.57894736842105,60.3421052631579,23.31578947368421,-6.676,-4.613,-5.641852000000001,3
183,23.0,184.0,Jordan,167,L.Schultz,COL,FWD,60.75,72.0,28.125,-7.759,-7.018,-6.542635000000001,7
