feed_id,Year,name,pos,early_avg,late_avg,improvement,n_early,n_late,is_jumper,career_avg_prior,career_avg_delta,SC_trend_slope_8,SC_form_delta_3v6,SC_ema_trend,SC_skewness,SC_ceiling_rate,tog_avg_r8,tog_trend,clearances_avg_r8,clearances_trend,cba_avg_r8,cba_trend,price_change_sum3,price_is_floor,tag_is_hot_r78,tag_is_hot_any,tag_is_injured_returning,pos_is_mid,pos_is_def,pos_is_fwd,pos_is_ruc
1000223,2021,Liam Baker,DEF,74.4,87.2,12.8,8,14,1,,,2.893,-0.7,-0.2,0.185,0.125,82.6,-3.1,0.75,1.25,7.8,23.2,4500,0,0,1,0,0,1,0,0
990290,2024,Tom Barrass,DEF,76.1,88.8,12.7,7,11,1,84.8,8.6,9.893,4.3,16.6,-0.25,0.143,95.4,-0.9,0.57,0.43,,,-2600,0,0,0,0,0,1,0,0
295898,2022,Tim Kelly,MID,78.0,90.0,12.0,5,12,1,85.4,7.4,5.3,6.3,5.9,0.1,0.0,81.0,-0.5,4.8,0.2,86.0,-4.0,-28700,0,0,1,0,1,0,0,0
296733,2021,Mark Blicavs,RUC,76.5,88.4,11.9,8,13,1,,,0.429,-3.5,3.0,0.177,0.125,91.6,0.4,1.5,2.0,15.9,17.1,-38300,0,1,1,1,0,0,0,1
990827,2021,Jack Graham,MID,76.6,88.3,11.7,8,14,1,,,0.56,0.0,0.6,0.535,0.25,77.9,-3.4,2.0,-0.5,26.2,13.2,12400,0,0,0,0,1,0,0,0
1005247,2023,Sam Taylor,DEF,76.8,88.3,11.5,6,9,1,89.5,12.6,0.143,-0.2,-3.6,0.324,0.167,88.3,-13.3,0.33,0.17,,,-26300,0,0,0,0,0,1,0,0
1008436,2025,Kieren Briggs,RUC,75.8,87.3,11.5,6,12,1,93.5,17.6,-8.371,-20.8,-3.7,-0.677,0.167,72.5,-8.0,3.83,0.17,75.0,-3.0,-103600,0,0,0,0,0,0,0,1
991930,2022,Darcy Byrne-Jones,FWD,77.9,87.2,9.3,8,13,1,75.4,-2.5,-2.964,-6.5,-5.5,0.841,0.25,80.2,-5.2,0.88,-0.38,,,-3400,0,0,1,0,0,0,1,0
1009253,2023,Lachie Ash,DEF,78.0,86.9,8.9,8,15,1,68.0,-10.0,0.619,-4.2,3.4,-0.524,0.0,84.1,-1.6,0.5,0.0,0.0,0.0,-5900,0,1,1,0,0,1,0,0
1006126,2022,James Rowbottom,MID,79.6,88.5,8.8,8,13,1,74.6,-5.0,-5.94,-12.3,-10.6,0.241,0.375,77.2,-4.2,4.0,-1.5,40.5,4.0,-19600,0,0,0,0,1,0,0,0
1004863,2023,Mitchell Hinge,DEF,79.4,88.0,8.6,8,14,1,65.5,-13.9,2.274,0.3,2.1,-0.485,0.0,85.9,0.1,0.38,-0.38,,,23400,0,0,0,0,0,1,0,0
298289,2021,Peter Wright,FWD,77.2,85.6,8.3,8,12,1,,,2.452,8.5,-4.6,1.539,0.125,83.0,-4.0,1.88,-0.38,46.9,-31.4,94800,0,0,0,0,0,0,1,0
1006136,2024,Lachlan Sholl,MID,79.4,87.0,7.6,5,15,1,66.7,-12.7,3.1,-1.1,2.1,-0.59,0.2,75.0,9.0,0.8,-0.3,,,8600,0,1,1,0,1,0,0,0
1002312,2021,Zac Bailey,MID,79.9,87.1,7.3,8,14,1,,,1.226,14.0,3.7,-0.572,0.125,78.4,-4.4,2.5,1.0,29.6,6.9,11300,0,0,0,0,1,0,0,0
1009420,2021,Caleb Serong,MID,78.5,85.4,6.9,8,14,1,,,-1.571,12.7,-0.9,0.418,0.25,71.8,-2.8,5.0,0.0,69.1,3.9,15900,0,0,0,0,1,0,0,0
