,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team
94,71052,9867,James,Bad Boys For Fyfe,121,101,True,994539,Sam,Petrevski-Seton,CAR
95,71052,9867,James,Bad Boys For Fyfe,293,97,True,281091,Hugh,Greenwood,GCS
96,71052,9867,James,Bad Boys For Fyfe,115,92,True,250105,Marc,Murphy,CAR
97,71052,9867,James,Bad Boys For Fyfe,495,91,True,296359,Christian,Salem,MEL
98,71052,9867,James,Bad Boys For Fyfe,319,87,True,290832,David,Swallow,GCS
99,71052,9867,James,Bad Boys For Fyfe,752,84,True,1003130,Patrick,Lipinski,WBD
100,71052,9867,James,Bad Boys For Fyfe,797,84,True,271045,Nic,Naitanui,WCE
101,71052,9867,James,Bad Boys For Fyfe,481,79,True,298264,Ed,Langdon,MEL
102,71052,9867,James,Bad Boys For Fyfe,816,77,True,292128,Elliot,Yeo,WCE
103,71052,9867,James,Bad Boys For Fyfe,579,69,True,1004998,Todd,Marshall,PTA
104,71052,9867,James,Bad Boys For Fyfe,220,49,True,291771,Devon,Smith,ESS
105,71052,9867,James,Bad Boys For Fyfe,227,28,True,296294,Blake,Acres,FRE
106,71052,9867,James,Bad Boys For Fyfe,101,0,False,999827,Zac,Fisher,CAR
107,71052,9867,James,Bad Boys For Fyfe,219,0,False,291783,Dylan,Shiel,ESS
108,71052,9867,James,Bad Boys For Fyfe,244,0,False,291570,Nat,Fyfe,FRE
109,71052,9867,James,Bad Boys For Fyfe,124,53,False,298290,Marc,Pittonet,CAR
110,8258,9856,Simon,It's always Sonny,677,142,True,250267,Paddy,Ryder,STK
111,8258,9856,Simon,It's always Sonny,491,141,True,298210,Christian,Petracca,MEL
112,8258,9856,Simon,It's always Sonny,389,129,True,295265,Nick,Haynes,GWS
113,8258,9856,Simon,It's always Sonny,328,125,True,296733,Mark,Blicavs,GEE
114,8258,9856,Simon,It's always Sonny,516,122,True,296035,Trent,Dumont,NTH
115,8258,9856,Simon,It's always Sonny,270,115,True,281007,Michael,Walters,FRE
116,8258,9856,Simon,It's always Sonny,90,106,True,261224,Dayne,Zorko,BRL
117,8258,9856,Simon,It's always Sonny,751,103,True,290799,Tom,Liberatore,WBD
118,8258,9856,Simon,It's always Sonny,599,97,True,993993,Shai,Bolton,RIC
119,8258,9856,Simon,It's always Sonny,537,96,True,270325,Robbie,Tarrant,NTH
120,8258,9856,Simon,It's always Sonny,136,94,True,291776,Taylor,Adams,COL
121,8258,9856,Simon,It's always Sonny,637,90,True,294674,Nick,Vlastuin,RIC
122,8258,9856,Simon,It's always Sonny,522,90,True,260227,Shaun,Higgins,NTH
123,8258,9856,Simon,It's always Sonny,277,80,True,998260,Jack,Bowes,GCS
124,8258,9856,Simon,It's always Sonny,777,73,True,990290,Tom,Barrass,WCE
125,8258,9856,Simon,It's always Sonny,519,69,True,271129,Todd,Goldstein,NTH
126,8258,9856,Simon,It's always Sonny,403,61,True,998205,Harry,Perryman,GWS
127,8258,9856,Simon,It's always Sonny,557,39,True,1006121,Zak,Butters,PTA
128,8258,9856,Simon,It's always Sonny,682,52,False,296422,Callum,Wilkie,STK
129,8258,9856,Simon,It's always Sonny,796,0,False,294859,Jeremy,McGovern,WCE
130,8258,9856,Simon,It's always Sonny,133,140,False,1006094,Sam,Walsh,CAR
131,8258,9856,Simon,It's always Sonny,203,90,False,298630,Kyle,Langford,ESS
132,10857,189,Anthony,The Full Bonty,490,177,True,996701,Clayton,Oliver,MEL
133,10857,189,Anthony,The Full Bonty,455,164,True,297566,James,Sicily,HAW
134,10857,189,Anthony,The Full Bonty,794,150,True,295898,Tim,Kelly,WCE
135,10857,189,Anthony,The Full Bonty,337,148,True,281065,Mitch,Duncan,GEE
136,10857,189,Anthony,The Full Bonty,207,124,True,998102,Andrew,McGrath,ESS
137,10857,189,Anthony,The Full Bonty,633,110,True,992049,Jayden,Short,RIC
138,10857,189,Anthony,The Full Bonty,734,108,True,293651,Hayden,Crozier,WBD
139,10857,189,Anthony,The Full Bonty,576,106,True,997142,Peter,Ladhams,PTA
140,10857,189,Anthony,The Full Bonty,559,99,True,991930,Darcy,Byrne-Jones,PTA
141,10857,189,Anthony,The Full Bonty,51,97,True,998133,Jarrod,Berry,BRL
142,10857,189,Anthony,The Full Bonty,214,96,True,993817,Darcy,Parish,ESS
143,10857,189,Anthony,The Full Bonty,729,87,True,297373,Marcus,Bontempelli,WBD
144,10857,189,Anthony,The Full Bonty,54,84,True,990609,Charlie,Cameron,BRL
145,10857,189,Anthony,The Full Bonty,740,73,True,1004592,Tim,English,WBD
146,10857,189,Anthony,The Full Bonty,322,65,True,298524,Lachie,Weller,GCS
147,10857,189,Anthony,The Full Bonty,426,52,True,291351,Jack,Gunston,HAW
148,10857,189,Anthony,The Full Bonty,377,48,True,293845,Jeremy,Cameron,GWS
149,10857,189,Anthony,The Full Bonty,5,15,True,294307,Brad,Crouch,ADE
150,10857,189,Anthony,The Full Bonty,415,0,False,294685,Zac,Williams,GWS
151,10857,189,Anthony,The Full Bonty,173,0,False,280965,Steele,Sidebottom,COL
152,10857,189,Anthony,The Full Bonty,676,67,False,293846,Sebastian,Ross,STK
153,10857,189,Anthony,The Full Bonty,668,160,False,992468,Rowan,Marshall,STK
154,300791,182,Paul,Coronaviney,211,135,True,992016,Zach,Merrett,ESS
155,300791,182,Paul,Coronaviney,787,130,True,290801,Andrew,Gaff,WCE
156,300791,182,Paul,Coronaviney,37,129,True,291748,Brodie,Smith,ADE
157,300791,182,Paul,Coronaviney,501,118,True,291902,Jack,Viney,MEL
158,300791,182,Paul,Coronaviney,414,116,True,294305,Lachie,Whitfield,GWS
159,300791,182,Paul,Coronaviney,506,116,True,291861,Jed,Anderson,NTH
160,300791,182,Paul,Coronaviney,128,115,True,998215,Will,Setterfield,CAR
161,300791,182,Paul,Coronaviney,351,113,True,294199,Sam,Menegola,GEE
162,300791,182,Paul,Coronaviney,593,100,True,294318,Ollie,Wines,PTA
163,300791,182,Paul,Coronaviney,747,97,True,294101,Jason,Johannisen,WBD
164,300791,182,Paul,Coronaviney,323,97,True,291975,Jarrod,Witts,GCS
165,300791,182,Paul,Coronaviney,655,94,True,298421,Jade,Gresham,STK
166,300791,182,Paul,Coronaviney,690,78,True,992242,Jordan,Dawson,SYD
167,300791,182,Paul,Coronaviney,159,75,True,992010,Brayden,Maynard,COL
168,300791,182,Paul,Coronaviney,47,68,True,996059,Harris,Andrews,BRL
169,300791,182,Paul,Coronaviney,575,57,True,292145,Tom,Jonas,PTA
170,300791,182,Paul,Coronaviney,102,57,True,296200,Michael,Gibbons,CAR
171,300791,182,Paul,Coronaviney,22,45,True,270938,Tom,Lynch,ADE
172,300791,182,Paul,Coronaviney,513,0,False,280921,Ben,Cunnington,NTH
173,300791,182,Paul,Coronaviney,606,0,False,270896,Trent,Cotchin,RIC
174,300791,182,Paul,Coronaviney,700,0,False,260382,Josh P.,Kennedy,SYD
175,300791,182,Paul,Coronaviney,418,0,False,291327,Jonathon,Ceglar,HAW
