,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change
280,130,free_agent,,997316,Lewis,Young,CAR,463,24,60,309700,505,1,8,-15600,-59900,471,249,122,963,2024-08-25T11:36:29+10:00,7,67,4,34,7,47,2,7,1,6,0,-8,0,5,0,1,0,0,59.0,138,63.125,52.0,STK,58.25,0,,0,,0,,0,Docklands Stadium,57.84,,,,0,0,3.42007,0.4918032786885246,0.5244029075804777,4906.138613861386,8
281,276,free_agent,,297456,Nick,Holman,GCS,290,24,71,321000,1130,1,21,800,-48200,295,201,106,2099,2024-08-25T11:36:29+10:00,5,108,12,125,1,42,3,79,1,11,0,-22,0,0,0,10,0,11,59.6,124,53.8095,63.0,RIC,67.75,1,,0,,0,,0,Melbourne Cricket Ground,51.5,,,,0,0,3.07311,0.6698113207547169,0.5383515959980943,5965.489365260781,5
282,543,free_agent,,1004998,Todd,Marshall,PTA,329,24,0,226700,984,0,18,0,-142500,318,415,0,1611,2024-08-25T11:36:30+10:00,0,134,0,34,0,89,0,26,0,11,0,-10,0,5,0,20,0,18,35.0,297,54.6667,31.6667,FRE,61.5714,1,,0,,0,,0,Perth Stadium,50.5,,,,0,0,7.36059,,0.6108007448789572,4146.948690884945,-11
283,199,free_agent,,1015873,Archie,Perkins,ESS,281,24,66,237800,1163,1,18,1900,-131100,285,220,80,1438,2024-08-25T11:36:29+10:00,12,166,3,111,7,56,1,67,1,14,0,-11,0,0,0,5,1,7,46.2,1047,64.6111,47.3333,BRL,65.25,1,,0,,0,,0,Brisbane Cricket Ground,63.3333,,,,0,0,25.948,0.825,0.8087621696801113,3680.4821462566033,4
284,522,free_agent,,1009191,Miles,Bergman,PTA,109,24,76,430900,1785,1,23,6200,62800,112,183,104,2419,2024-08-25T11:36:29+10:00,11,252,3,109,6,151,2,71,2,16,0,-11,0,0,0,4,0,9,85.4,1175,77.6087,87.3333,FRE,66.4,1,,0,,0,,0,Perth Stadium,72.3333,,,,0,0,29.1202,0.7307692307692307,0.7379082265398925,5552.212574105738,3
285,551,free_agent,,296225,Willie,Rioli,PTA,314,24,63,312800,1031,1,17,-14800,-55100,323,232,109,1721,2024-08-25T11:36:29+10:00,6,125,2,37,2,36,1,50,1,12,-2,-22,0,0,3,29,0,19,66.8,165,60.6471,53.0,FRE,64.6667,1,,0,,0,,0,Perth Stadium,66.6667,,,,0,0,4.08922,0.5779816513761468,0.5990703079604881,5157.707458394548,9
286,470,free_agent,,291819,Adam,Tomlinson,MEL,436,24,86,357000,602,1,8,11300,-9800,451,133,153,1005,2024-08-25T11:36:29+10:00,10,81,5,38,7,37,0,13,0,7,0,-9,0,0,0,0,0,0,66.8,259,75.25,75.6667,COL,68.5556,0,,0,,0,,0,Melbourne Cricket Ground,66.5161,,,,0,0,6.41884,0.5620915032679739,0.5990049751243781,4744.186046511628,15
288,158,free_agent,,291849,Brody,Mihocek,COL,421,24,0,304500,664,0,11,0,-60900,408,415,0,1200,2024-08-25T11:36:30+10:00,0,78,0,36,0,41,0,29,0,13,0,-14,0,2,0,19,0,13,51.4,174,60.3636,54.0,MEL,63.75,1,,0,,0,,0,Melbourne Cricket Ground,62.2609,,,,0,0,4.31227,,0.5533333333333333,5044.430749657078,-13
291,472,free_agent,,1017720,Jacob,van Rooyen,MEL,249,24,30,302600,1290,1,21,-29200,-61300,244,379,121,1949,2024-08-25T11:36:30+10:00,3,127,2,88,1,81,0,38,0,20,-2,-19,1,89,1,30,1,16,48.8,549,61.4286,43.3333,COL,59.6667,0,,0,,0,,0,Melbourne Cricket Ground,63.0,,,,0,0,13.6059,0.24793388429752067,0.6618778860954335,4926.044220444548,-5
292,744,free_agent,,993820,Tom,Cole,WCE,169,24,66,354300,1544,1,23,-6300,-8500,169,220,112,2348,2024-08-25T11:36:29+10:00,10,222,3,137,3,98,5,71,0,23,0,-24,0,0,0,0,0,2,70.4,218,67.1304,65.6667,GEE,45.2,1,,0,,0,,0,Kardinia Park,48.75,,,,0,0,5.40273,0.5892857142857143,0.6575809199318569,5277.787708698295,0
