,round,coach_id,coach_team_id,coach_first_name,coach_team_name,wins,draws,losses,points_for,points_against,league_points,position
0,17,300791,713,Paul,Toby or Not To Be,12,0,5,28509,27799,48,1
0,17,180650,720,Jordan,StupidSexyFlanders,11,0,6,28821,27880,44,2
0,17,8258,718,Simon,Wilkie Wonka,11,0,6,28355,27477,44,3
0,17,45168,719,Luke,He is HIMmelberg,10,0,7,28616,28163,40,4
0,17,71052,716,James,The Gulden Girls,7,0,10,27407,28086,28,5
0,17,86078,717,Lester,Baby Got Trac,7,0,10,26666,28255,28,6
0,17,10857,715,Anthony,Colonel Sanders,6,0,11,28664,29011,24,7
0,17,21562,714,Mark,Need for Sheed,4,0,13,27861,28228,16,8
0,18,180650,720,Jordan,StupidSexyFlanders,12,0,6,30515,29553,48,1
0,18,300791,713,Paul,Toby or Not To Be,12,0,6,30186,29558,48,2
0,18,45168,719,Luke,He is HIMmelberg,11,0,7,30375,29840,44,3
0,18,8258,718,Simon,Wilkie Wonka,11,0,7,29987,29256,44,4
0,18,10857,715,Anthony,Colonel Sanders,7,0,11,30443,30643,28,5
0,18,71052,716,James,The Gulden Girls,7,0,11,28924,29849,28,6
0,18,86078,717,Lester,Baby Got Trac,7,0,11,28339,29949,28,7
0,18,21562,714,Mark,Need for Sheed,5,0,13,29624,29745,20,8
0,19,180650,720,Jordan,StupidSexyFlanders,13,0,6,32344,31256,52,1
0,19,300791,713,Paul,Toby or Not To Be,12,0,7,31889,31387,48,2
0,19,8258,718,Simon,Wilkie Wonka,12,0,7,31804,30856,48,3
0,19,45168,719,Luke,He is HIMmelberg,11,0,8,31975,31657,44,4
0,19,10857,715,Anthony,Colonel Sanders,8,0,11,32193,32248,32,5
0,19,86078,717,Lester,Baby Got Trac,8,0,11,30057,31479,32,6
0,19,71052,716,James,The Gulden Girls,7,0,12,30454,31567,28,7
0,19,21562,714,Mark,Need for Sheed,5,0,14,31229,31495,20,8
0,20,180650,720,Jordan,StupidSexyFlanders,14,0,6,34224,33000,56,1
0,20,300791,713,Paul,Toby or Not To Be,13,0,7,33672,33057,52,2
0,20,45168,719,Luke,He is HIMmelberg,12,0,8,33812,33206,48,3
0,20,8258,718,Simon,Wilkie Wonka,12,0,8,33474,32639,48,4
0,20,86078,717,Lester,Baby Got Trac,9,0,11,31894,33250,36,5
0,20,10857,715,Anthony,Colonel Sanders,8,0,12,33964,34085,32,6
0,20,71052,716,James,The Gulden Girls,7,0,13,32198,33447,28,7
0,20,21562,714,Mark,Need for Sheed,5,0,15,32778,33332,20,8
0,21,180650,720,Jordan,StupidSexyFlanders,15,0,6,35946,34599,60,1
0,21,300791,713,Paul,Toby or Not To Be,14,0,7,35610,34840,56,2
0,21,45168,719,Luke,He is HIMmelberg,12,0,9,35532,34977,48,3
0,21,8258,718,Simon,Wilkie Wonka,12,0,9,35209,34452,48,4
0,21,86078,717,Lester,Baby Got Trac,10,0,11,33665,34970,40,5
0,21,10857,715,Anthony,Colonel Sanders,8,0,13,35563,35807,32,6
0,21,71052,716,James,The Gulden Girls,7,0,14,33981,35385,28,7
0,21,21562,714,Mark,Need for Sheed,6,0,15,34591,35067,24,8
0,22,300791,713,Paul,Toby or Not To Be,0,0,0,0,0,0,1
0,22,180650,720,Jordan,StupidSexyFlanders,0,0,0,0,0,0,2
0,22,8258,718,Simon,Wilkie Wonka,0,0,0,0,0,0,3
0,22,45168,719,Luke,He is HIMmelberg,0,0,0,0,0,0,4
0,22,86078,717,Lester,Baby Got Trac,0,0,0,0,0,0,5
0,22,10857,715,Anthony,Colonel Sanders,0,0,0,0,0,0,6
0,22,71052,716,James,The Gulden Girls,0,0,0,0,0,0,7
0,22,21562,714,Mark,Need for Sheed,0,0,0,0,0,0,8
0,23,300791,713,Paul,Toby or Not To Be,0,0,0,0,0,0,1
0,23,180650,720,Jordan,StupidSexyFlanders,0,0,0,0,0,0,2
0,23,8258,718,Simon,Wilkie Wonka,0,0,0,0,0,0,3
0,23,45168,719,Luke,He is HIMmelberg,0,0,0,0,0,0,4
0,23,86078,717,Lester,Baby Got Trac,0,0,0,0,0,0,5
0,23,10857,715,Anthony,Colonel Sanders,0,0,0,0,0,0,6
0,23,71052,716,James,The Gulden Girls,0,0,0,0,0,0,7
0,23,21562,714,Mark,Need for Sheed,0,0,0,0,0,0,8
0,24,300791,713,Paul,Toby or Not To Be,0,0,0,0,0,0,1
0,24,180650,720,Jordan,StupidSexyFlanders,0,0,0,0,0,0,2
0,24,8258,718,Simon,Wilkie Wonka,0,0,0,0,0,0,3
0,24,45168,719,Luke,He is HIMmelberg,0,0,0,0,0,0,4
0,24,86078,717,Lester,Baby Got Trac,0,0,0,0,0,0,5
0,24,10857,715,Anthony,Colonel Sanders,0,0,0,0,0,0,6
0,24,71052,716,James,The Gulden Girls,0,0,0,0,0,0,7
0,24,21562,714,Mark,Need for Sheed,0,0,0,0,0,0,8
