,round_number,match_name,home_team_id,home_team_name,home_team_coach,home_team_points,away_team_id,away_team_name,away_team_coach,away_team_points
0,19,James vs Lester,716,The Gulden Girls,James,1530,717,Baby Got Trac,Lester,1718
0,19,Mark vs Anthony,714,Need for Sheed,Mark,1605,715,Colonel Sanders,Anthony,1750
0,20,Paul vs Simon,713,Toby or Not To Be,Paul,1783,718,Wilkie Wonka,Simon,1670
0,20,James vs Jordan,716,The Gulden Girls,James,1744,720,StupidSexyFlanders,Jordan,1880
0,20,Mark vs Luke,714,Need for Sheed,Mark,1549,719,He is HIMmelberg,Luke,1837
0,20,Anthony vs Lester,715,Colonel Sanders,Anthony,1771,717,Baby Got Trac,Lester,1837
0,21,Paul vs James,713,Toby or Not To Be,Paul,1938,716,The Gulden Girls,James,1783
0,21,Mark vs Simon,714,Need for Sheed,Mark,1813,718,Wilkie Wonka,Simon,1735
0,21,Anthony vs Jordan,715,Colonel Sanders,Anthony,1599,720,StupidSexyFlanders,Jordan,1722
0,21,Lester vs Luke,717,Baby Got Trac,Lester,1771,719,He is HIMmelberg,Luke,1720
0,22,Jordan vs Paul,720,StupidSexyFlanders,Jordan,1732,713,Toby or Not To Be,Paul,1878
0,22,Luke vs Simon,719,He is HIMmelberg,Luke,1641,718,Wilkie Wonka,Simon,1702
0,23,Jordan vs Simon,720,StupidSexyFlanders,Jordan,1930,718,Wilkie Wonka,Simon,1769
0,24,Paul vs Jordan,713,Toby or Not To Be,Paul,1911,720,StupidSexyFlanders,Jordan,1840
